nome,year,Wins,Losses,Pct_wins,Ot_Losses,Gf,Ga,Dif_success
New York Rangers,2003,27,40,32.90%,8,206,250,-44.0
Ottawa Senators,2003,43,23,52.40%,6,262,189,0.524
Philadelphia Flyers,2003,40,21,48.80%,6,229,186,43.0
Phoenix Coyotes,2003,22,36,26.80%,6,188,245,-57.0
Pittsburgh Penguins,2003,23,47,28.00%,4,190,303,-113.0
San Jose Sharks,2003,43,21,52.40%,6,219,183,0.524
St. Louis Blues,2003,39,30,47.60%,2,191,198,-7.0
Tampa Bay Lightning,2003,46,22,56.10%,6,245,192,0.561
Toronto Maple Leafs,2003,45,24,54.90%,3,242,204,0.549
Vancouver Canucks,2003,43,24,52.40%,5,235,194,0.524
Washington Capitals,2003,23,46,28.00%,3,186,253,-67.0
Mighty Ducks of Anaheim,2005,43,27,52.40%,12,254,229,0.524
Atlanta Thrashers,2005,41,33,50.00%,8,281,275,0.5
Boston Bruins,2005,29,37,35.40%,16,230,266,-36.0
Buffalo Sabres,2005,52,24,63.40%,6,281,239,0.634
Calgary Flames,2005,46,25,56.10%,11,218,200,0.561
Carolina Hurricanes,2005,52,22,63.40%,8,294,260,0.634
Columbus Blue Jackets,2005,35,43,42.70%,4,223,279,-56.0
Chicago Blackhawks,2005,26,43,31.70%,13,211,285,-74.0
Colorado Avalanche,2005,43,30,52.40%,9,283,257,0.524
Dallas Stars,2005,53,23,64.60%,6,265,218,0.646
Detroit Red Wings,2005,58,16,70.70%,8,305,209,0.707
Edmonton Oilers,2005,41,28,50.00%,13,256,251,0.5
Florida Panthers,2005,37,34,45.10%,11,240,257,-17.0
Los Angeles Kings,2005,42,35,51.20%,5,249,270,0.512
Minnesota Wild,2005,38,36,46.30%,8,231,215,16.0
Montreal Canadiens,2005,42,31,51.20%,9,243,247,0.512
Nashville Predators,2005,49,25,59.80%,8,259,227,0.598
New Jersey Devils,2005,46,27,56.10%,9,242,229,0.561
New York Islanders,2005,36,40,43.90%,6,230,278,-48.0
New York Rangers,2005,44,26,53.70%,12,257,215,0.537
Ottawa Senators,2005,52,21,63.40%,9,314,211,0.634
Philadelphia Flyers,2005,45,26,54.90%,11,267,259,0.549
Phoenix Coyotes,2005,38,39,46.30%,5,246,271,-25.0
Pittsburgh Penguins,2005,22,46,26.80%,14,244,316,-72.0
San Jose Sharks,2005,44,27,53.70%,11,266,242,0.537
St. Louis Blues,2005,21,46,25.60%,15,197,292,-95.0
Tampa Bay Lightning,2005,43,33,52.40%,6,252,260,0.524
Toronto Maple Leafs,2005,41,33,50.00%,8,257,270,0.5
Vancouver Canucks,2005,42,32,51.20%,8,256,255,0.512
Washington Capitals,2005,29,41,35.40%,12,237,306,-69.0
Anaheim Ducks,2006,48,20,58.50%,14,258,208,0.585
